text,date,text_cleaned,tokens,compound,predicted_sentiment
Just horrible,31 December 2023,just horrible,['horrible'],-0.5423,negative
Very bad just disappointed...,28 December 2023,very bad just disappointed,"['bad', 'disappointed']",-0.7996,negative
Okayish but not good,23 December 2023,okayish but not good,"['okayish', 'good']",-0.4782,negative
Movie was good,22 December 2023,movie was good,"['movie', 'good']",0.4404,positive
A Cataclysmic Failure in Cinematic Adaptation,22 December 2023,a cataclysmic failure in cinematic adaptation,"['cataclysmic', 'failure', 'cinematic', 'adaptation']",-0.5106,negative
Nice,19 December 2023,nice,['nice'],0.4215,positive
Remarkable script (and I've given 9 stars for the script only),14 December 2023,remarkable script and ive given 9 stars for the script only,"['remarkable', 'script', 'ive', 'given', '9', 'star', 'script']",0.5574,positive
Make fun of religion story,26 November 2023,make fun of religion story,"['make', 'fun', 'religion', 'story']",0.5106,positive
piece of tatti,26 November 2023,piece of tatti,"['piece', 'tatti']",0.0,positive
Very very disappointed,19 November 2023,very very disappointed,['disappointed'],-0.5678,negative
Ramayana best concept is missing,13 November 2023,ramayana best concept is missing,"['ramayana', 'best', 'concept', 'missing']",0.4588,positive
Rubbish Movie😣,10 November 2023,rubbish movie,"['rubbish', 'movie']",0.0,positive
This is a Disappointing Adaptation of the Ramayanan Epic,30 October 2023,this is a disappointing adaptation of the ramayanan epic,"['disappointing', 'adaptation', 'ramayanan', 'epic']",-0.4939,negative
Its not that bad!,25 October 2023,its not that bad,['bad'],0.431,positive
Movie of the year,15 October 2023,movie of the year,"['movie', 'year']",0.0,positive
Adipurush: The Animated Facepalm!,4 October 2023,adipurush the animated facepalm,"['adipurush', 'animated', 'facepalm']",0.0,positive
Adipurush - Mishandled version of Ramayan,30 September 2023,adipurush  mishandled version of ramayan,"['adipurush', 'mishandled', 'version', 'ramayan']",0.0,positive
Wyyyyyy!!!!!,28 September 2023,wyyyyyy,['wyyyyyy'],0.0,positive
A bad stain of Ramayana epic,27 September 2023,a bad stain of ramayana epic,"['bad', 'stain', 'ramayana', 'epic']",-0.5423,negative
Worst movie ever,23 September 2023,worst movie ever,"['worst', 'movie', 'ever']",-0.6249,negative
Adipursh,22 September 2023,adipursh,['adipursh'],0.0,positive
ADIPURUSH : ANOTHER MOVIE WITHOUT SENSE AND MAKING FUN OF RELIGIOUS THINGS AND GOD,21 September 2023,adipurush  another movie without sense and making fun of religious things and god,"['adipurush', 'another', 'movie', 'without', 'sense', 'making', 'fun', 'religious', 'thing', 'god']",0.6597,positive
Hater will hate anything for no reason,15 September 2023,hater will hate anything for no reason,"['hater', 'hate', 'anything', 'reason']",-0.8271,negative
"Would rather watch 10 movies like this, than watching Muslim appeasement movies.",12 September 2023,would rather watch 10 movies like this than watching muslim appeasement movies,"['would', 'rather', 'watch', '10', 'movie', 'like', 'watching', 'muslim', 'appeasement', 'movie']",0.3612,positive
An Epic Indian Mythology Film that Captivates,11 September 2023,an epic indian mythology film that captivates,"['epic', 'indian', 'mythology', 'film', 'captivates']",0.0,positive
I Tried. God knows i tried.,10 September 2023,i tried god knows i tried,"['tried', 'god', 'know', 'tried']",0.2732,positive
Have you watched the worst movie yet?,10 September 2023,have you watched the worst movie yet,"['watched', 'worst', 'movie', 'yet']",-0.6249,negative
One of the best mythological film of the era!!!,9 September 2023,one of the best mythological film of the era,"['one', 'best', 'mythological', 'film', 'era']",0.6369,positive
Collapse to show facts of holy Ramayna,8 September 2023,collapse to show facts of holy ramayna,"['collapse', 'show', 'fact', 'holy', 'ramayna']",-0.4939,negative
"Superb, and brilliant",5 September 2023,superb and brilliant,"['superb', 'brilliant']",0.836,positive
Adipurush: The Ultimate Lesson in Massacring a Film With Immense Potential,5 September 2023,adipurush the ultimate lesson in massacring a film with immense potential,"['adipurush', 'ultimate', 'lesson', 'massacring', 'film', 'immense', 'potential']",0.0,positive
Adipurush: The movie that provides a great detail on the fight between the two souls of India,5 September 2023,adipurush the movie that provides a great detail on the fight between the two souls of india,"['adipurush', 'movie', 'provides', 'great', 'detail', 'fight', 'two', 'soul', 'india']",0.3612,positive
BAKWAS Movie,3 September 2023,bakwas movie,"['bakwas', 'movie']",0.0,positive
Tried to make fun of Ramayana,2 September 2023,tried to make fun of ramayana,"['tried', 'make', 'fun', 'ramayana']",0.5106,positive
A lazy version of Ramayana critiqued by a Hindu (closet ashiest),31 August 2023,a lazy version of ramayana critiqued by a hindu closet ashiest,"['lazy', 'version', 'ramayana', 'critiqued', 'hindu', 'closet', 'ashiest']",-0.3612,negative
Is it possible to give minus rating,31 August 2023,is it possible to give minus rating,"['possible', 'give', 'minus', 'rating']",0.0,positive
Insult to Epic Sri Ramayan,29 August 2023,insult to epic sri ramayan,"['insult', 'epic', 'sri', 'ramayan']",-0.5106,negative
Everything went wrong,27 August 2023,everything went wrong,"['everything', 'went', 'wrong']",-0.4767,negative
Disrespectful to Ramayana story,27 August 2023,disrespectful to ramayana story,"['disrespectful', 'ramayana', 'story']",0.0,positive
Childish movie. Damaged hinds Ramayana,27 August 2023,childish movie damaged hinds ramayana,"['childish', 'movie', 'damaged', 'hind', 'ramayana']",-0.6249,negative
Makers should be ashamed of this movie.,26 August 2023,makers should be ashamed of this movie,"['maker', 'ashamed', 'movie']",-0.4767,negative
One of the worst movie and no real story disrespful to such spiritual movie,25 August 2023,one of the worst movie and no real story disrespful to such spiritual movie,"['one', 'worst', 'movie', 'real', 'story', 'disrespful', 'spiritual', 'movie']",-0.743,negative
Do not watch this.,25 August 2023,do not watch this,['watch'],0.0,positive
Disaster,24 August 2023,disaster,['disaster'],-0.6249,negative
Nothing worse can be there,24 August 2023,nothing worse can be there,"['nothing', 'worse']",0.3724,positive
Pathetic and Disaster,24 August 2023,pathetic and disaster,"['pathetic', 'disaster']",-0.8316,negative
"Immense Potential, Lacklustre Delivery",23 August 2023,immense potential lacklustre delivery,"['immense', 'potential', 'lacklustre', 'delivery']",0.0,positive
Falsification of Ramayana,23 August 2023,falsification of ramayana,"['falsification', 'ramayana']",0.0,positive
"Fortunately, I managed to avoid watching this dreadful movie in the theaters.",22 August 2023,fortunately i managed to avoid watching this dreadful movie in the theaters,"['fortunately', 'managed', 'avoid', 'watching', 'dreadful', 'movie', 'theater']",-0.6249,negative
Extremely hard to watch,21 August 2023,extremely hard to watch,"['extremely', 'hard', 'watch']",-0.1761,negative
Worst movie,21 August 2023,worst movie,"['worst', 'movie']",-0.6249,negative
What a cheap movie this is,21 August 2023,what a cheap movie this is,"['cheap', 'movie']",0.0,positive
